Title: Cancer Staging System Value Set - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

Description: 

Table 1:
                                                                                                                                                                                                                                                                                           0                                                                                                                                                                                                                                                                                            1                                                                                                                                                                                                                                                                                            2                                                                                                                                                                                                                                                                                            3                                                                                                                                                                                                                                                                                            4
                                                                                                                                                                                                            Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/mcode-cancer-staging-system-vs                                                                                                                                                                                                             Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/mcode-cancer-staging-system-vs                                                                                                                                                                                                             Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/mcode-cancer-staging-system-vs                                                                                                                                                                                                             Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/mcode-cancer-staging-system-vs                                                                                                                                                                                                                                                                              Version:  0.2.0
                                                                                                                                                                                                                                                                     Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                       Computable Name: CancerStagingSystemVS
Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement

Table 2:
         0                      1                                                                                                               2
      Code                 System                                                                                                         Display
 254292007 http://snomed.info/sct                                                                                                   Tumor staging
  13808002 http://snomed.info/sct                                                                                                      WR stage 3
  15972002 http://snomed.info/sct                                                                                                      WR stage 2
  42114005 http://snomed.info/sct                                                                                                      WR stage 1
  66470009 http://snomed.info/sct                                                                                                      WR stage 5
  74542008 http://snomed.info/sct                                                                                                      WR stage 4
  83200007 http://snomed.info/sct                                                                                                      WR stage 6
 106242004 http://snomed.info/sct                                                                         Walter Reed staging of prostatic cancer
 106244003 http://snomed.info/sct                                                                           FIGO staging of endometrial carcinoma
 106245002 http://snomed.info/sct                                                                                FIGO staging of vulvar carcinoma
 106246001 http://snomed.info/sct                                                                                 FIGO staging of vulvar melanoma
 106247005 http://snomed.info/sct                                                                      FIGO staging for epithelial tumor of ovary
 106250008 http://snomed.info/sct                                                                              FIGO staging of cervical carcinoma
 106252000 http://snomed.info/sct                                                                             Staging classification for lymphoma
 110375007 http://snomed.info/sct                                                                                               Overlapping tumor
 254360008 http://snomed.info/sct                                                                                            Dukes staging system
 254361007 http://snomed.info/sct                                                                                    Astler-Coller staging system
 254362000 http://snomed.info/sct                                                                           Modified Astler-Coller staging system
 254363005 http://snomed.info/sct                                                                      International neuroblastoma staging system
 254364004 http://snomed.info/sct                                                              NWTS - National Wilms' tumour study staging system
 254365003 http://snomed.info/sct                                                                                     Siopel liver staging system
 254366002 http://snomed.info/sct                                                                      Stannard staging system for retinoblastoma
 254368001 http://snomed.info/sct                        United Kingdom children's cancer study group central nervous system tumor staging system
 254370005 http://snomed.info/sct                                                         St Jude's malignant histiocytosis tumour staging system
 254371009 http://snomed.info/sct                                                                 St Jude's non-Hodgkin's lymphoma staging system
 254372002 http://snomed.info/sct                                                                               Ann Arbor lymphoma staging system
 254373007 http://snomed.info/sct                                                                Ann Arbor Hodgkin's disease tumor staging system
 254374001 http://snomed.info/sct                                                          Ann Arbor non-Hodgkin's lymphoma tumour staging system
 254375000 http://snomed.info/sct                                                                Cotswolds Hodgkin's disease tumor staging system
 254376004 http://snomed.info/sct                                                                               Testicular tumour staging systems
 254378003 http://snomed.info/sct                                                                     Walter Reed testicular tumor staging system
 254379006 http://snomed.info/sct                                                             Indiana University testicular tumour staging system
 254380009 http://snomed.info/sct                                 Marshall Modification of Jewett-Strong staging system for urinary bladder tumor
 254381008 http://snomed.info/sct                                              American Urological Association staging system for prostate cancer
 254382001 http://snomed.info/sct                                                                         Trophoblastic malignancy staging system
 254383006 http://snomed.info/sct                  Federation internationale de gynecologie et d'obstetrique staging of gynaecological malignancy
 254384000 http://snomed.info/sct                                                                                      FIGO Vaginal tumor staging
 254385004 http://snomed.info/sct                    Federation internationale de gynecologie et d'obstetrique staging of corpus uteri malignancy
 254386003 http://snomed.info/sct                         Federation Internationale de gynecologie et d'obstetrique staging of ovarian malignancy
 258233007 http://snomed.info/sct                                                                Generic tumor staging descriptor (tumor staging)
 258234001 http://snomed.info/sct                                                                               TNM tumor staging classifications
 258244004 http://snomed.info/sct                                                                                                        G status
 258246002 http://snomed.info/sct                                                                         Lymphatic tumour invasion status stages
 258247006 http://snomed.info/sct                                                                                                        V status
 258257007 http://snomed.info/sct                                                             Additional tumor staging descriptor (tumor staging)
 258258002 http://snomed.info/sct                                                                                                             (f)
 258259005 http://snomed.info/sct                                                                                                              is
 258260000 http://snomed.info/sct                                                                                                             (d)
 258267002 http://snomed.info/sct                                                                               Generic tumour risk status stages
 258268007 http://snomed.info/sct                                                                                                  Low risk tumor
 258269004 http://snomed.info/sct                                                                                              Medium risk tumour
 258270003 http://snomed.info/sct                                                                                                 High risk tumor
 258271004 http://snomed.info/sct                                                               Specific tumor staging descriptor (tumor staging)
 258272006 http://snomed.info/sct                                                                  Liver tumor staging descriptor (tumor staging)
 258273001 http://snomed.info/sct                                                                                          Liver tumor size index
 258276009 http://snomed.info/sct                                                                                  Timing of liver tumour staging
 258279002 http://snomed.info/sct                                                                          Lymphoma staging symptom status values
 258280004 http://snomed.info/sct                                                               Lymphomatous extranodal involvement status values
 258281000 http://snomed.info/sct                                                                                                      S+ minimal
 258282007 http://snomed.info/sct                                                                                                    S+ extensive
 258283002 http://snomed.info/sct                                                                                  Lymphomatous nodal involvement
 258284008 http://snomed.info/sct                                                                                 Stannards retinoblastoma stages
 258285009 http://snomed.info/sct                                                    Optic nerve tumour invasion status in retinoblastoma staging
