Title: Morphologically abnormal structure - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

Description: 

Table 1:
                                                                                                                                                                                                                                                                                           0                                                                                                                                                                                                                                                                                            1                                                                                                                                                                                                                                                                                            2                                                                                                                                                                                                                                                                                            3                                                                                                                                                                                                                                                                                            4
                                                                                                                                                                                                              Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/morphologicAbnormality-eu-vs                                                                                                                                                                                                               Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/morphologicAbnormality-eu-vs                                                                                                                                                                                                               Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/morphologicAbnormality-eu-vs                                                                                                                                                                                                               Official URL: http://hl7.eu/fhir/ig/pcsp/ValueSet/morphologicAbnormality-eu-vs                                                                                                                                                                                                                                                                              Version:  0.2.0
                                                                                                                                                                                                                                                                     Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                                      Draft  as of 2024-05-27                                                                                                                                                                                                                                                    Computable Name: MorphologicAbnormalityVS
Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement Copyright/Legal: This value set includes content from SNOMED CT, which is copyright © 2002+ International Health Terminology Standards Development Organisation (IHTSDO), and distributed by agreement between IHTSDO and HL7. Implementer use of SNOMED CT is not covered by this agreement

Table 2:
       0                      1                                                                                         2
    Code                 System                                                                                   Display
49755003 http://snomed.info/sct                                                                Abnormal tissue appearance
  145009 http://snomed.info/sct                                                                            Colloid milium
  161006 http://snomed.info/sct                                                                            Thermal injury
  182000 http://snomed.info/sct                                                                              Canalization
  232001 http://snomed.info/sct                                                                           Congenital fold
  255003 http://snomed.info/sct                                                                          Calcified nodule
  259009 http://snomed.info/sct                                                                              Fibrous body
  328005 http://snomed.info/sct                                                                         Follicular papule
  339008 http://snomed.info/sct                                                                                   Blister
  354002 http://snomed.info/sct                                                                   Triton tumor, malignant
  367004 http://snomed.info/sct                                                                                  Clubbing
  394000 http://snomed.info/sct                                                                    Abnormal trabeculation
  419008 http://snomed.info/sct                                                                     Functional dilatation
  420002 http://snomed.info/sct                                                                 Anastomosis, heterocladic
  487002 http://snomed.info/sct                                                                       Coil/whorled fibers
  511008 http://snomed.info/sct                                                                        Fibrous meningioma
  575006 http://snomed.info/sct                                                                             Cholesteatoma
  605004 http://snomed.info/sct                                                                Severe inflammatory atypia
  738003 http://snomed.info/sct                                                                    Ball valve obstruction
  803009 http://snomed.info/sct                                                                             Paraganglioma
  810003 http://snomed.info/sct                                                                        Spindle cell nevus
  835009 http://snomed.info/sct Peripheral T-cell lymphoma, AILD (Angioimmunoblastic Lymphadenopathy with Dysproteinemia)
  856006 http://snomed.info/sct                                                                         Actinic keratosis
  900006 http://snomed.info/sct                                                            Mucin-producing adenocarcinoma
  915007 http://snomed.info/sct                                                    Malignant melanoma in junctional nevus
  985004 http://snomed.info/sct                                                                              Neurilemmoma
  988002 http://snomed.info/sct                                                                              Wet gangrene
  999000 http://snomed.info/sct                                              Mixed islet cell and exocrine adenocarcinoma
 1040005 http://snomed.info/sct                                                                 Anterior open dislocation
 1129000 http://snomed.info/sct                                                                          Acidophilic body
 1138003 http://snomed.info/sct                                                             Moderate squamous cell atypia
 1188006 http://snomed.info/sct                                                                 Superior open dislocation
 1338007 http://snomed.info/sct                                                                      Basal cell carcinoma
 1443001 http://snomed.info/sct                                                                     Chromophobe carcinoma
 1454006 http://snomed.info/sct                                                            Chronic fibrinous inflammation
 1513001 http://snomed.info/sct                                                           Melanotic neuroectodermal tumor
 1522000 http://snomed.info/sct                                                                                    Plaque
 1561008 http://snomed.info/sct                                                            Swollen sarcoplasmic reticulum
 1586004 http://snomed.info/sct                                                       Subependymal giant cell astrocytoma
 1623000 http://snomed.info/sct                                                                  Myxopapillary ependymoma
 1736008 http://snomed.info/sct                                                                               Anteversion
 1752006 http://snomed.info/sct                                                                        Clear cell adenoma
 1791001 http://snomed.info/sct                                                            Radiation injury with fibrosis
 1806006 http://snomed.info/sct                                                                                  Eruption
 1996000 http://snomed.info/sct                                                                           Numeric atrophy
 2014001 http://snomed.info/sct                                                                          Microlymphoblast
 2019006 http://snomed.info/sct                                                                       Sarcoplasmic bodies
 2026006 http://snomed.info/sct                                                                       Serous adenofibroma
 2052000 http://snomed.info/sct                                                                            Acute necrosis
 2097009 http://snomed.info/sct                                                                              Dyskeratosis
 2122006 http://snomed.info/sct                                                                          Pressure atrophy
 2142002 http://snomed.info/sct                                                                          Nodular melanoma
